empresa_norm,n_rows,id_pro,nombre,mostrar_listas,id_emp,lugar_por_defecto,id_esp,horas_estimadas,en_ejecucion,facturacion,ocupacion,horas_ejecutadas,fecha_corte,horas_ejecutadas_facturables,tipo_alcance,id_col_responsable,avance_real,avance_estimado
INDUGLOB,6,5158,120 horas (Soporte 2016),0,132,11,12,80.0,0.0,5950.0,Stand by,981.5,2026-03-02 09:50:07,896.5,Por Alcance,0.0,0.0,0.0
INPROEL,3,9212,Coachin BI,0,5556,5,3,130.0,0.0,5480.0,Esporádico,223.0,2026-03-02 09:50:07,223.0,Por Alcance,0.0,0.0,0.0
INTACO,12,13509,APLINK,2,48,24,39,582.0,0.0,27100.0,Stand by,3117.0,2026-03-02 09:50:07,2488.0,Por Alcance,21.0,0.0,0.0
KOMATSU,3,4294,Fase I: DCC,0,5259,6,6,220.0,0.0,10560.0,Stand by,392.5,2026-03-02 09:50:07,314.5,Por Alcance,0.0,0.0,0.0
KPMG,2,9534,Budget CeCo x Cuenta,1,14506,4,4,340.0,1.0,20000.0,Esporádico,96.5,2026-03-02 09:50:07,96.5,Por Alcance,0.0,0.0,0.0
LA FABRIL,10,28099,Caja Registradora,1,15400,20,20,750.0,0.0,8400.0,Stand by,2511.25,2026-03-02 09:50:07,2222.75,Por Alcance,0.0,0.0,0.0
LA UNIVERSAL,1,810,Gestión de Rentabilidad,0,1452,2,2,0.0,0.0,0.0,Stand by,2483.0,2026-03-02 09:50:07,2161.0,Por Alcance,0.0,0.0,0.0
MADERERA,1,4817,Carga de Budget 2025,1,182,2,2,300.0,1.0,16500.0,Esporádico,0.0,,0.0,Por Alcance,0.0,0.0,0.0
MARATHON,1,121,OBI Coaching,0,128,1,1,0.0,0.0,0.0,Stand by,24.0,2026-03-02 09:50:07,7.0,Por Alcance,0.0,0.0,0.0
MAVESA,4,5296,Coaching Ampliado BI - DWH,2,6624,5,6,1380.0,0.0,70800.0,Stand by,3368.5,2026-03-02 09:50:07,3358.5,Por Alcance,0.0,0.0,0.0
